letter	frequency
guess	7797
spread	7814
prime	7817
truth	7833
manmohan	7890
intern	7892
decis	7934
trust	8008
kashmir	8009
terror	8038
account	8066
ground	8079
bank	8104
patel	8132
woman	8159
victim	8198
worker	8223
khan	8228
entir	8249
histori	8295
journo	8296
pappu	8336
minor	8406
journalist	8424
declar	8430
photo	8437
econom	8459
matter	8485
price	8541
ticket	8543
fail	8565
daili	8575
rais	8607
varanasi	8620
record	8627
politician	8631
continu	8684
complet	8849
demand	8867
promis	8913
statement	8977
shame	9033
tejpal	9076
road	9129
accept	9293
death	9329
action	9368
kind	9368
accus	9391
vadra	9422
yadav	9434
nitish	9440
offici	9474
view	9484
celebr	9490
final	9591
serious	9601
comment	9636
presid	9650
crowd	9707
ndtv	9717
reach	9772
clean	9798
water	9799
decid	9861
import	9975
alleg	10005
order	10051
lakh	10185
prove	10186
youth	10186
articl	10188
month	10194
sabha	10194
lead	10229
templ	10235
actual	10263
problem	10267
congi	10433
through	10613
arrest	10719
discuss	10757
number	10778
major	10796
girl	10803
pass	11074
protest	11086
crore	11176
fake	11274
debat	11295
armi	11305
terrorist	11318
abus	11344
leav	11401
allow	11435
hain	11490
busi	11506
morn	11528
blame	11645
scam	11745
pakistan	11828
rape	11829
contest	11931
interview	12038
respons	12267
kejri	12296
bhai	12348
bihar	12353
wonder	12584
video	12688
respect	12787
poor	12869
expect	13005
mumbai	13078
secur	13398
rememb	13441
forc	13442
kumar	13569
channel	13576
hindus	13758
interest	13775
noth	14027
riot	14040
bharat	14580
between	14767
money	14803
life	14813
realli	14893
given	15154
communal	15660
stori	15761
expos	16082
address	16211
offic	16345
believ	16410
famili	17741
friend	17801
check	17939
develop	17975
world	18079
court	18127
nahi	18206
campaign	18832
post	18902
public	18995
love	19063
question	19175
happen	19381
voter	19574
countri	19666
thing	19926
speech	20442
kill	21051
attack	21198
women	21426
polic	21463
hindu	21731
becaus	22127
corrupt	22420
poll	23058
secular	23412
case	25266
report	25487
minist	25600
power	25877
pleas	27464
sonia	35118
namo	35467
muslim	36718
gujarat	37285
state	37359
elect	38476
shri	38893
nation	39705
mani	42130
veri	42306
leader	42539
govt	49702
indian	51843
rahul	53842
support	54487
kejriw	55517
media	56326
gandhi	56759
narendra	58033
against	58508
parti	58746
delhi	68370
vote	74023
india	110057
congress	114580
modi	194744
